pca_components,n_qubits,reps,entanglement,runs,is_baseline,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,runtime_mean,runtime_std,condition_number_mean,condition_number_std,effective_rank_mean,effective_rank_std,offdiag_mean_mean,offdiag_mean_std,offdiag_std_mean,offdiag_std_std,offdiag_median_mean,offdiag_median_std
2,2,1,linear,5,False,0.9122807017543859,0.02236412067365258,0.9313337848941565,0.026860905323310154,0.8238095238095238,0.07063046178186344,0.8725547201336676,0.03758026780285891,0.9697089947089946,0.014106849839566268,0.21235185999994427,0.034394417472273585,1.116078649568005e+20,1.7030687326385006e+20,7.345458974362939,0.20562093025751635,0.32438247464187553,0.007144513364552354,0.29076184361596097,0.003937995555149427,0.22597667668432453,0.008819891610392738
2,2,1,full,5,False,0.9122807017543859,0.02236412067365258,0.9313337848941565,0.026860905323310154,0.8238095238095238,0.07063046178186344,0.8725547201336676,0.03758026780285891,0.9697089947089946,0.014106849839566268,0.2142232799998965,0.02792826859903398,1.116078649568005e+20,1.7030687326385006e+20,7.345458974362939,0.20562093025751635,0.32438247464187553,0.007144513364552354,0.29076184361596097,0.003937995555149427,0.22597667668432453,0.008819891610392738
2,2,2,linear,5,False,0.8842105263157896,0.016873143913746804,0.8887945387945388,0.03317824001439229,0.7857142857142858,0.055838282855040805,0.8326783340116674,0.028308333256116255,0.9414021164021162,0.024036251467724576,0.37472567999984674,0.06529158205545735,1.3214910633720372e+20,1.6362068604603446e+20,6.329119960054456,0.49607258996292863,0.4310837983658781,0.030195858445761066,0.27947118578340124,0.0032738966657321496,0.40043282908347927,0.04284218307539618
2,2,2,full,5,True,0.8842105263157896,0.016873143913746804,0.8887945387945388,0.03317824001439229,0.7857142857142858,0.055838282855040805,0.8326783340116674,0.028308333256116255,0.9414021164021162,0.024036251467724576,0.3726864399999613,0.06550584678885572,1.3214910633720372e+20,1.6362068604603446e+20,6.329119960054456,0.49607258996292863,0.4310837983658781,0.030195858445761066,0.27947118578340124,0.0032738966657321496,0.40043282908347927,0.04284218307539618
2,2,3,linear,5,False,0.8596491228070174,0.021486752129677,0.8368945416004239,0.03669122839446476,0.7714285714285714,0.06432979088622044,0.8011617911033626,0.03524846058749346,0.9203703703703703,0.025042262575414392,0.4950708400001531,0.06842104349275972,5.055366461369908e+19,4.230748544405072e+19,5.9042264637638535,0.3953739537394499,0.4818011457915434,0.02488454888639305,0.2676642000271693,0.001512387927390454,0.4804940691071115,0.034641125547823885
2,2,3,full,5,False,0.8596491228070174,0.021486752129677,0.8368945416004239,0.03669122839446476,0.7714285714285714,0.06432979088622044,0.8011617911033626,0.03524846058749346,0.9203703703703703,0.025042262575414392,0.47145327999969594,0.014439989080076049,5.055366461369908e+19,4.230748544405072e+19,5.9042264637638535,0.3953739537394499,0.4818011457915434,0.02488454888639305,0.2676642000271693,0.001512387927390454,0.4804940691071115,0.034641125547823885
4,4,1,linear,5,False,0.8596491228070174,0.03453512225443775,0.8527389500883993,0.07038918762309362,0.761904761904762,0.13041013273932525,0.7957322362546243,0.06877693082307704,0.9262566137566137,0.030264712139279223,0.40659214000006616,0.015273533816023855,3.0571685430610612e+19,5.235410099536335e+19,70.28650071706804,4.938000214543069,0.0817961404471268,0.004063738782664791,0.1306402830528195,0.007238998201414064,0.0345543788034542,0.0006951676426571804
4,4,1,full,5,False,0.905263157894737,0.04225120904839402,0.8747664616085669,0.0766828940857646,0.8761904761904761,0.0831630914122523,0.8720597553526798,0.05555041305974113,0.9581349206349206,0.022672744826524677,0.5754958599998645,0.031493887863930155,6.489815638286682e+19,1.1171223929157383e+20,96.48512374501927,5.414778047192835,0.09608459340760471,0.0031620044609715283,0.10148783665817622,0.004626224757699314,0.0645946184599259,0.0013850429851969047
4,4,2,linear,5,False,0.8140350877192981,0.04225120904839401,0.8025029128003958,0.05780684257630955,0.661904761904762,0.12187127516256883,0.7191869858536526,0.08585355393110002,0.8934523809523809,0.04416162336454699,0.702855400000135,0.02914612655962185,7.881249544863007e+17,5.4966672356519494e+17,95.79686743050972,5.3944435257295815,0.08293204343537394,0.003472752448818641,0.10568780734421486,0.00464716494863562,0.047584967229037614,0.002854324656165002
4,4,2,full,5,True,0.7789473684210526,0.03637972167250479,0.733903138549168,0.08467312595741494,0.6476190476190476,0.10016992365696488,0.6816093822902556,0.05902643152227193,0.8546296296296297,0.04820766243037727,1.0255224199998338,0.02454411029802911,2.518621161347632e+17,1.5097258308786566e+17,123.66341518649969,2.6483213443827363,0.0811320598202134,0.0014711618227198544,0.08448080599918477,0.0018508846365315331,0.055998694394749436,0.0011125475319522643
4,4,3,linear,5,False,0.7964912280701755,0.04133059294522718,0.7643319473448598,0.08719192888320816,0.6571428571428571,0.027147033930931833,0.7054921096502157,0.04926453966732685,0.8700396825396826,0.031087294439423204,1.00614489999989,0.041282031932346475,2.085421976857527e+17,3.650110282267339e+17,93.62902782544731,4.014439491125731,0.09768520061581101,0.0025043365672839744,0.10796658442551103,0.003102343154575053,0.06238727503313951,0.0015711837808023274
4,4,3,full,5,False,0.7228070175438596,0.02948725669117827,0.6957515473032714,0.07154963863854538,0.4428571428571429,0.049372479412685036,0.5402556272889776,0.052271438100484534,0.7872354497354497,0.03397614294444845,1.4747507600000063,0.043546232269026874,2.505287386187653e+16,6560143901891811.0,137.43227165045786,2.831692898491913,0.07782168795818972,0.0017517120018728275,0.07695430740814269,0.0016848913145764747,0.05517789045656699,0.001454745325171518
