comparison,metric,n_pairs,mean_paired_difference,median_paired_difference,std_paired_difference,min_paired_difference,max_paired_difference,left_wins,right_wins,ties,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,n_bootstrap,interval_scope
Classical PCA2 vs QSVC PCA2,f1,5,0.06616921571356786,0.06976744186046513,0.039204391621525635,0.02352941176470591,0.12538699690402477,5,0,0,0.03883177030969296,0.09766464375014357,42.0,10000.0,percentile bootstrap over the five observed split-level differences
Classical PCA2 vs QSVC PCA2,accuracy,5,0.043859649122806973,0.04385964912280693,0.0240229191888231,0.01754385964912275,0.07894736842105265,5,0,0,,,,,
Classical PCA2 vs QSVC PCA2,roc_auc,5,0.02222222222222221,0.013227513227513255,0.026762637848472534,-0.007605820105820227,0.06018518518518512,4,1,0,,,,,
Classical PCA4 vs QSVC PCA4,f1,5,0.07719061053599216,0.08858024691358024,0.04167212431620381,0.02436323366555926,0.12370113805047012,5,0,0,0.044479627009405796,0.1092227710194144,42.0,10000.0,percentile bootstrap over the five observed split-level differences
Classical PCA4 vs QSVC PCA4,accuracy,5,0.05789473684210526,0.061403508771929904,0.03374628782749361,0.01754385964912275,0.10526315789473684,5,0,0,,,,,
Classical PCA4 vs QSVC PCA4,roc_auc,5,0.03597883597883602,0.04398148148148151,0.02070486129002473,0.005621693121693139,0.05456349206349209,5,0,0,,,,,
QSVC PCA2 vs QSVC PCA4,f1,5,-0.004299505916602819,-0.01541047912580551,0.03169149264661137,-0.03473389355742296,0.030677882236516574,2,3,0,-0.02912140223598454,0.020053480622142274,42.0,10000.0,percentile bootstrap over the five observed split-level differences
QSVC PCA2 vs QSVC PCA4,accuracy,5,0.0017543859649122862,-0.00877192982456143,0.02732002017964465,-0.02631578947368418,0.03508771929824561,2,3,0,,,,,
QSVC PCA2 vs QSVC PCA4,roc_auc,5,0.006216931216931209,0.010251322751322678,0.02674628851032558,-0.025793650793650813,0.044973544973545,3,2,0,,,,,
