model,pca_components,n_qubits,model_family,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,runtime_mean,runtime_std
Linear SVM — PCA 2,2,0,Classical,5,0.9473684210526315,0.015193428136569098,0.9151714764975527,0.04442197180764105,0.9476190476190476,0.02608202654786504,0.9302171547585214,0.018157633788199984,0.9897486772486772,0.0026351483879810083,0.003341919999820675,0.0009647894289250513
RBF SVM — PCA 2,2,0,Classical,5,0.9438596491228071,0.01593500186367101,0.9339122195733236,0.04109091937249442,0.9142857142857143,0.027147033930931846,0.9232849190827952,0.02021661294770251,0.9864417989417991,0.003975137328098936,0.0041234399998757,0.0010115709480600832
Polynomial SVM — PCA 2,2,0,Classical,5,0.9035087719298245,0.019614631381577114,0.975189393939394,0.02609240924135534,0.7571428571428571,0.03531523089093172,0.8523167377904219,0.031186273935539313,0.9846560846560847,0.007322327676447673,0.003572759999951813,0.0011263650687990082
Linear SVM — PCA 4,4,0,Classical,5,0.9631578947368421,0.015691705105261695,0.9492919116938205,0.03443905269920908,0.9523809523809523,0.03764616262105212,0.9500933140078491,0.02107207387830463,0.9952380952380953,0.0030181492616678783,0.0030602999997427103,0.0008621885843599157
RBF SVM — PCA 4,4,0,Classical,5,0.9578947368421051,0.020003077633318198,0.9448221343873519,0.04360723549142877,0.9428571428571428,0.03610893068595975,0.9430206775640695,0.02590901255266131,0.9944444444444445,0.0035105904833571963,0.003951080000115325,0.0003446578838969356
Polynomial SVM — PCA 4,4,0,Classical,5,0.919298245614035,0.013010874538764329,0.9942857142857143,0.012777531299998804,0.7857142857142857,0.03764616262105214,0.8772775451131615,0.022302323232033083,0.9893518518518517,0.008649873339069686,0.003629340000134107,0.0011829225600361744
QSVC — PCA 2 / 2 qubits,2,2,Quantum,5,0.8842105263157896,0.016873143913746804,0.8887945387945388,0.03317824001439229,0.7857142857142858,0.055838282855040805,0.8326783340116674,0.028308333256116255,0.9414021164021162,0.024036251467724576,0.37294713999990564,0.05724447964853489
QSVC — PCA 4 / 4 qubits,4,4,Quantum,5,0.7789473684210526,0.03637972167250479,0.733903138549168,0.08467312595741494,0.6476190476190476,0.10016992365696488,0.6816093822902556,0.05902643152227193,0.8546296296296297,0.04820766243037727,1.0564377399999103,0.15181209117388017
