seed,model,kernel,pca_components,C,gamma,inner_fold,n_inner_train,n_inner_validation,inner_accuracy,inner_precision,inner_recall,inner_f1,inner_roc_auc
42,Linear SVM — PCA 2,linear,2,0.01,none,1,364,91,0.9010989010989011,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.9798761609907121
42,Linear SVM — PCA 2,linear,2,0.1,none,1,364,91,0.9340659340659341,0.9375,0.8823529411764706,0.9090909090909091,0.979360165118679
42,Linear SVM — PCA 2,linear,2,1.0,none,1,364,91,0.9010989010989011,0.9310344827586207,0.7941176470588235,0.8571428571428571,0.9798761609907121
42,Linear SVM — PCA 2,linear,2,10.0,none,1,364,91,0.9120879120879121,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.9798761609907121
42,Linear SVM — PCA 2,linear,2,100.0,none,1,364,91,0.9120879120879121,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.9798761609907121
42,Linear SVM — PCA 2,linear,2,0.01,none,2,364,91,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394,0.9922600619195047
42,Linear SVM — PCA 2,linear,2,0.1,none,2,364,91,0.967032967032967,0.918918918918919,1.0,0.9577464788732394,0.9938080495356038
42,Linear SVM — PCA 2,linear,2,1.0,none,2,364,91,0.9560439560439561,0.8947368421052632,1.0,0.9444444444444444,0.9989680082559339
42,Linear SVM — PCA 2,linear,2,10.0,none,2,364,91,0.9560439560439561,0.8947368421052632,1.0,0.9444444444444444,0.9989680082559339
42,Linear SVM — PCA 2,linear,2,100.0,none,2,364,91,0.9560439560439561,0.8947368421052632,1.0,0.9444444444444444,0.9989680082559339
42,Linear SVM — PCA 2,linear,2,0.01,none,3,364,91,0.9120879120879121,0.90625,0.8529411764705882,0.8787878787878788,0.9834881320949431
42,Linear SVM — PCA 2,linear,2,0.1,none,3,364,91,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9840041279669762
42,Linear SVM — PCA 2,linear,2,1.0,none,3,364,91,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9845201238390093
42,Linear SVM — PCA 2,linear,2,10.0,none,3,364,91,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9845201238390093
42,Linear SVM — PCA 2,linear,2,100.0,none,3,364,91,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9845201238390093
42,Linear SVM — PCA 2,linear,2,0.01,none,4,364,91,0.967032967032967,1.0,0.9117647058823529,0.9538461538461539,0.9922600619195048
42,Linear SVM — PCA 2,linear,2,0.1,none,4,364,91,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697,0.9922600619195048
42,Linear SVM — PCA 2,linear,2,1.0,none,4,364,91,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697,0.9917440660474717
42,Linear SVM — PCA 2,linear,2,10.0,none,4,364,91,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697,0.9917440660474717
42,Linear SVM — PCA 2,linear,2,100.0,none,4,364,91,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697,0.9917440660474717
42,Linear SVM — PCA 2,linear,2,0.01,none,5,364,91,0.945054945054945,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.9932920536635707
42,Linear SVM — PCA 2,linear,2,0.1,none,5,364,91,0.9560439560439561,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9932920536635707
42,Linear SVM — PCA 2,linear,2,1.0,none,5,364,91,0.9560439560439561,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9932920536635707
42,Linear SVM — PCA 2,linear,2,10.0,none,5,364,91,0.9560439560439561,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9932920536635707
42,Linear SVM — PCA 2,linear,2,100.0,none,5,364,91,0.9560439560439561,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9932920536635707
42,RBF SVM — PCA 2,rbf,2,0.01,scale,1,364,91,0.7692307692307693,1.0,0.38235294117647056,0.5531914893617021,0.9613003095975231
42,RBF SVM — PCA 2,rbf,2,0.01,auto,1,364,91,0.6263736263736264,0.0,0.0,0.0,0.9540763673890609
42,RBF SVM — PCA 2,rbf,2,0.01,0.01,1,364,91,0.6263736263736264,0.0,0.0,0.0,0.9654282765737875
42,RBF SVM — PCA 2,rbf,2,0.01,0.1,1,364,91,0.6593406593406593,1.0,0.08823529411764706,0.16216216216216217,0.9613003095975232
42,RBF SVM — PCA 2,rbf,2,0.01,1.0,1,364,91,0.6263736263736264,0.0,0.0,0.0,0.9504643962848297
42,RBF SVM — PCA 2,rbf,2,0.1,scale,1,364,91,0.9010989010989011,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.9680082559339526
42,RBF SVM — PCA 2,rbf,2,0.1,auto,1,364,91,0.9230769230769231,0.8857142857142857,0.9117647058823529,0.8985507246376812,0.9576883384932923
42,RBF SVM — PCA 2,rbf,2,0.1,0.01,1,364,91,0.8791208791208791,0.896551724137931,0.7647058823529411,0.8253968253968254,0.9700722394220846
42,RBF SVM — PCA 2,rbf,2,0.1,0.1,1,364,91,0.9010989010989011,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.9638802889576883
42,RBF SVM — PCA 2,rbf,2,0.1,1.0,1,364,91,0.9230769230769231,0.9090909090909091,0.8823529411764706,0.8955223880597015,0.9530443756449949
42,RBF SVM — PCA 2,rbf,2,1.0,scale,1,364,91,0.8901098901098901,0.9,0.7941176470588235,0.84375,0.9695562435500515
42,RBF SVM — PCA 2,rbf,2,1.0,auto,1,364,91,0.9120879120879121,0.90625,0.8529411764705882,0.8787878787878788,0.9329205366357068
42,RBF SVM — PCA 2,rbf,2,1.0,0.01,1,364,91,0.8901098901098901,0.9,0.7941176470588235,0.84375,0.9762641898864809
42,RBF SVM — PCA 2,rbf,2,1.0,0.1,1,364,91,0.8901098901098901,0.9,0.7941176470588235,0.84375,0.9643962848297215
42,RBF SVM — PCA 2,rbf,2,1.0,1.0,1,364,91,0.9120879120879121,0.90625,0.8529411764705882,0.8787878787878788,0.9293085655314758
42,RBF SVM — PCA 2,rbf,2,10.0,scale,1,364,91,0.9010989010989011,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.9654282765737875
42,RBF SVM — PCA 2,rbf,2,10.0,auto,1,364,91,0.9010989010989011,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.9396284829721362
42,RBF SVM — PCA 2,rbf,2,10.0,0.01,1,364,91,0.8901098901098901,0.9,0.7941176470588235,0.84375,0.9747162022703818
42,RBF SVM — PCA 2,rbf,2,10.0,0.1,1,364,91,0.9230769230769231,0.9090909090909091,0.8823529411764706,0.8955223880597015,0.958720330237358
42,RBF SVM — PCA 2,rbf,2,10.0,1.0,1,364,91,0.8901098901098901,0.875,0.8235294117647058,0.8484848484848485,0.9241486068111454
42,RBF SVM — PCA 2,rbf,2,100.0,scale,1,364,91,0.9340659340659341,0.9375,0.8823529411764706,0.9090909090909091,0.9695562435500517
42,RBF SVM — PCA 2,rbf,2,100.0,auto,1,364,91,0.9120879120879121,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9272445820433438
42,RBF SVM — PCA 2,rbf,2,100.0,0.01,1,364,91,0.8901098901098901,0.9,0.7941176470588235,0.84375,0.9731682146542827
42,RBF SVM — PCA 2,rbf,2,100.0,0.1,1,364,91,0.9120879120879121,0.90625,0.8529411764705882,0.8787878787878788,0.9566563467492261
42,RBF SVM — PCA 2,rbf,2,100.0,1.0,1,364,91,0.9010989010989011,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.9143446852425181
42,RBF SVM — PCA 2,rbf,2,0.01,scale,2,364,91,0.7472527472527473,1.0,0.3235294117647059,0.4888888888888889,0.9912280701754386
42,RBF SVM — PCA 2,rbf,2,0.01,auto,2,364,91,0.6263736263736264,0.0,0.0,0.0,0.9948400412796699
42,RBF SVM — PCA 2,rbf,2,0.01,0.01,2,364,91,0.6263736263736264,0.0,0.0,0.0,0.9871001031991744
42,RBF SVM — PCA 2,rbf,2,0.01,0.1,2,364,91,0.6263736263736264,0.0,0.0,0.0,0.9922600619195047
42,RBF SVM — PCA 2,rbf,2,0.01,1.0,2,364,91,0.6263736263736264,0.0,0.0,0.0,0.9912280701754387
42,RBF SVM — PCA 2,rbf,2,0.1,scale,2,364,91,0.9560439560439561,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9927760577915377
42,RBF SVM — PCA 2,rbf,2,0.1,auto,2,364,91,0.9560439560439561,0.8947368421052632,1.0,0.9444444444444444,0.9948400412796697
42,RBF SVM — PCA 2,rbf,2,0.1,0.01,2,364,91,0.9340659340659341,0.9666666666666667,0.8529411764705882,0.90625,0.9907120743034056
42,RBF SVM — PCA 2,rbf,2,0.1,0.1,2,364,91,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9943240454076367
42,RBF SVM — PCA 2,rbf,2,0.1,1.0,2,364,91,0.9560439560439561,0.8947368421052632,1.0,0.9444444444444444,0.9912280701754387
42,RBF SVM — PCA 2,rbf,2,1.0,scale,2,364,91,0.9230769230769231,0.8648648648648649,0.9411764705882353,0.9014084507042254,0.9922600619195046
42,RBF SVM — PCA 2,rbf,2,1.0,auto,2,364,91,0.9560439560439561,0.8947368421052632,1.0,0.9444444444444444,0.9979360165118679
42,RBF SVM — PCA 2,rbf,2,1.0,0.01,2,364,91,0.9560439560439561,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9953560371517027
42,RBF SVM — PCA 2,rbf,2,1.0,0.1,2,364,91,0.9230769230769231,0.8648648648648649,0.9411764705882353,0.9014084507042254,0.9927760577915377
42,RBF SVM — PCA 2,rbf,2,1.0,1.0,2,364,91,0.945054945054945,0.8918918918918919,0.9705882352941176,0.9295774647887324,0.9963880288957688
42,RBF SVM — PCA 2,rbf,2,10.0,scale,2,364,91,0.9340659340659341,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9927760577915377
42,RBF SVM — PCA 2,rbf,2,10.0,auto,2,364,91,0.9340659340659341,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9726522187822497
42,RBF SVM — PCA 2,rbf,2,10.0,0.01,2,364,91,0.9230769230769231,0.8648648648648649,0.9411764705882353,0.9014084507042254,0.9943240454076366
