seed,train_size,model,model_family,pca_components,n_qubits,accuracy,precision,recall,f1,roc_auc,fit_time,prediction_time,total_runtime,pca_explained_variance,kernel_train_bytes,kernel_test_bytes,kernel_total_bytes,effective_rank,condition_number,offdiag_mean,offdiag_std,statevector_train_time,statevector_test_time,train_kernel_matrix_time,test_kernel_matrix_time
42,50,Linear SVM — PCA 2,Classical,2,0,0.9210526315789473,0.851063829787234,0.9523809523809523,0.898876404494382,0.9884259259259259,0.0015402999997604638,0.0005656999996972445,0.0021059999994577083,0.6605252895143487,0,0,0,,,,,,,,
42,50,RBF SVM — PCA 2,Classical,2,0,0.9298245614035088,0.925,0.8809523809523809,0.9024390243902439,0.9867724867724869,0.0020621999997274543,0.0007977000000209955,0.0028598999997484498,0.6605252895143487,0,0,0,,,,,,,,
42,50,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.8245614035087719,0.84375,0.6428571428571429,0.7297297297297297,0.906084656084656,0.001293700000132958,0.00041770000007090857,0.07127420000051643,0.6605252895143487,20000,45600,65600,8.878953687126494,1.190157735473551e+18,0.26218266970543236,0.25022238757902737,0.020688500000233034,0.048644400000284804,0.00019759999986490584,3.229999992981902e-05
42,50,Linear SVM — PCA 4,Classical,4,0,0.9298245614035088,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.9890873015873016,0.0009787999997570296,0.00047690000019429135,0.001455699999951321,0.8477795123446201,0,0,0,,,,,,,,
42,50,RBF SVM — PCA 4,Classical,4,0,0.9473684210526315,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9880952380952381,0.0012640000004466856,0.0007673000000067987,0.0020313000004534842,0.8477795123446201,0,0,0,,,,,,,,
42,50,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.7982456140350878,0.7714285714285715,0.6428571428571429,0.7012987012987013,0.906084656084656,0.0012357000000520202,0.0004248999998708314,0.1727986999994755,0.8477795123446201,20000,45600,65600,39.15576164152819,52.91593416304686,0.0799925057614897,0.0818815632283923,0.04678599999988364,0.12417550000009214,7.509999977628468e-05,0.00010149999980058055
42,100,Linear SVM — PCA 2,Classical,2,0,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9894179894179893,0.0010723000000325555,0.000531199999841192,0.0016034999998737476,0.6632123206825046,0,0,0,,,,,,,,
42,100,RBF SVM — PCA 2,Classical,2,0,0.9385964912280702,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9871031746031746,0.0012209000001348613,0.0008401000000048953,0.0020610000001397566,0.6632123206825046,0,0,0,,,,,,,,
42,100,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.8333333333333334,0.7674418604651163,0.7857142857142857,0.7764705882352941,0.9156746031746031,0.0016221000000768981,0.0006264999997256382,0.0918736000003264,0.6632123206825046,80000,91200,171200,8.092294181602373,1.5294246390826355e+18,0.2997686175181394,0.27714813427545104,0.044073800000205665,0.0454251999999542,7.810000033714459e-05,4.7900000026857015e-05
42,100,Linear SVM — PCA 4,Classical,4,0,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9933862433862434,0.0010459999998602143,0.0004466999998840038,0.001492699999744218,0.8118073092570128,0,0,0,,,,,,,,
42,100,RBF SVM — PCA 4,Classical,4,0,0.9298245614035088,0.925,0.8809523809523809,0.9024390243902439,0.9897486772486772,0.0010886000000027707,0.0009743000000526081,0.0020629000000553788,0.8118073092570128,0,0,0,,,,,,,,
42,100,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.8333333333333334,0.7555555555555555,0.8095238095238095,0.7816091954022989,0.9011243386243386,0.001177200000256562,0.0004687999999077874,0.25399160000006304,0.8118073092570128,80000,91200,171200,61.314963622203976,378.348481667655,0.08726228901798673,0.09021068546297586,0.11337400000002162,0.13870679999990898,0.0001513000001978071,0.00011349999977028347
42,200,Linear SVM — PCA 2,Classical,2,0,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9867724867724867,0.0014154999998936546,0.0005142999998497544,0.001929799999743409,0.6470569773007816,0,0,0,,,,,,,,
42,200,RBF SVM — PCA 2,Classical,2,0,0.9298245614035088,0.925,0.8809523809523809,0.9024390243902439,0.9841269841269841,0.0012622999997802253,0.0010517999999137828,0.002314099999694008,0.6470569773007816,0,0,0,,,,,,,,
42,200,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.8771929824561403,0.85,0.8095238095238095,0.8292682926829268,0.9606481481481481,0.0012074999999640568,0.0006803999999647203,0.10367979999955423,0.6470569773007816,320000,182400,502400,7.870761985286571,4.3837702380544753e+18,0.30396849501599327,0.2836135981595177,0.06575169999996433,0.03561130000025514,0.00024999999959618435,0.00017889999980980065
42,200,Linear SVM — PCA 4,Classical,4,0,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.994378306878307,0.001176700000087294,0.0004512000000431726,0.0016279000001304667,0.8057998231448652,0,0,0,,,,,,,,
42,200,RBF SVM — PCA 4,Classical,4,0,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9900793650793651,0.0014980999999352207,0.0010924000002887624,0.002590500000223983,0.8057998231448652,0,0,0,,,,,,,,
42,200,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.868421052631579,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9391534391534392,0.0015521000000262575,0.0005871000003025983,0.3440169000004971,0.8057998231448652,320000,182400,502400,86.90465216272358,35776.14930844662,0.08818384837525318,0.09101261153540392,0.23248980000016672,0.10868290000007619,0.00036709999994855025,0.0003378999999767984
42,300,Linear SVM — PCA 2,Classical,2,0,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9880952380952381,0.0015932000001157576,0.0005078000003777561,0.0021010000004935137,0.6424151573835412,0,0,0,,,,,,,,
42,300,RBF SVM — PCA 2,Classical,2,0,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.9844576719576719,0.002499799999895913,0.001424200000201381,0.003924000000097294,0.6424151573835412,0,0,0,,,,,,,,
42,300,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.9385964912280702,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9794973544973544,0.0022718000000168104,0.0006032999999661115,0.1549873000003572,0.6424151573835412,720000,273600,993600,7.1633711088620045,1.7709838695478968e+19,0.32451088942179085,0.29859063843105654,0.11246630000005098,0.03871690000005401,0.000725700000202778,0.00020330000006651971
42,300,Linear SVM — PCA 4,Classical,4,0,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9950396825396826,0.0013954999999441497,0.00046249999968495104,0.0018579999996291008,0.8063204679502147,0,0,0,,,,,,,,
42,300,RBF SVM — PCA 4,Classical,4,0,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9930555555555556,0.0020257999999557796,0.0013620999998238403,0.00338789999977962,0.8063204679502147,0,0,0,,,,,,,,
42,300,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.9210526315789473,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9656084656084656,0.00349740000001475,0.001182000000426342,0.43593250000003536,0.8063204679502147,720000,273600,993600,89.54223991706249,1.4407442132860578e+17,0.09426710678289567,0.10158819603980286,0.3089034999998148,0.12122760000011112,0.0007032999997136358,0.000418699999954697
42,455,Linear SVM — PCA 2,Classical,2,0,0.9473684210526315,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9884259259259259,0.0025184999999510183,0.0009273000000575848,0.003445800000008603,0.633581100677249,0,0,0,,,,,,,,
42,455,RBF SVM — PCA 2,Classical,2,0,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.986441798941799,0.001880400000118243,0.0014883999997437058,0.003368799999861949,0.633581100677249,0,0,0,,,,,,,,
42,455,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9818121693121693,0.002686199999970995,0.0011347999998179148,0.21245230000022275,0.633581100677249,1656200,414960,2071160,7.467798213445227,3.727460679042416e+19,0.31798351316992307,0.29250907705572277,0.15892239999993762,0.04748890000018946,0.0019261000002188666,0.00029390000008788775
42,455,Linear SVM — PCA 4,Classical,4,0,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9927248677248678,0.0021176999998715473,0.0005264000001261593,0.0026440999999977066,0.7962615580754815,0,0,0,,,,,,,,
42,455,RBF SVM — PCA 4,Classical,4,0,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9930555555555556,0.0020202999999128224,0.0017965000001822773,0.0038168000000950997,0.7962615580754815,0,0,0,,,,,,,,
42,455,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.9298245614035088,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.968584656084656,0.003126799999790819,0.0007442999999511812,0.6432220999995479,0.7962615580754815,1656200,414960,2071160,90.76350609256536,9.465311738222217e+18,0.0993551007981607,0.10723751009006618,0.5159746999997878,0.1206013000000894,0.0021332999999685853,0.0006416999999601103
123,50,Linear SVM — PCA 2,Classical,2,0,0.9649122807017544,0.9130434782608695,1.0,0.9545454545454546,0.996031746031746,0.0020828999995501363,0.004537200000413577,0.006620099999963713,0.6478669127084824,0,0,0,,,,,,,,
123,50,RBF SVM — PCA 2,Classical,2,0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9940476190476191,0.0011423000000831962,0.0007584999998471176,0.0019007999999303138,0.6478669127084824,0,0,0,,,,,,,,
123,50,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.8421052631578947,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8792989417989419,0.002023300000018935,0.000761899999815796,0.1270239999998921,0.6478669127084824,20000,45600,65600,8.748739950348554,6.969195470661857e+17,0.28035924731864176,0.2471875020289881,0.019090000000232976,0.10480360000019573,0.00025729999970280915,8.789999992586672e-05
