seed,model,kernel,pca_components,C,gamma,inner_cv_f1_mean,inner_cv_f1_std,inner_cv_accuracy_mean,inner_cv_accuracy_std,inner_cv_roc_auc_mean,inner_cv_roc_auc_std,n_folds
123,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,10.0,none,0.8102541451579228,0.0318009607980954,0.8615384615384615,0.022787298190470005,0.9175438596491228,0.02994421454382903,5
123,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,100.0,none,0.7629181747214535,0.02246337880840538,0.8263736263736263,0.019657740461536594,0.8928792569659443,0.032492584145371387,5
456,Linear SVM — PCA 2,linear,2,0.01,none,0.9095691360610715,0.04228516708528956,0.9362637362637363,0.02736241669887636,0.9889576883384933,0.007973764199001863,5
456,Linear SVM — PCA 2,linear,2,0.1,none,0.9145873148590541,0.04635994233132124,0.9384615384615385,0.03165903360634715,0.9889576883384933,0.0071740129170029835,5
456,Linear SVM — PCA 2,linear,2,1.0,none,0.9246283001036522,0.03175646104525416,0.945054945054945,0.02197802197802201,0.9893704850361196,0.0073481870459930106,5
456,Linear SVM — PCA 2,linear,2,10.0,none,0.9245438012691534,0.03734127720085101,0.945054945054945,0.025771515163865014,0.9894736842105264,0.007220255582956419,5
456,Linear SVM — PCA 2,linear,2,100.0,none,0.9245438012691534,0.03734127720085101,0.945054945054945,0.025771515163865014,0.9894736842105264,0.007220255582956419,5
456,RBF SVM — PCA 2,rbf,2,0.01,scale,0.45328839456240877,0.04889218906530693,0.7362637362637362,0.015540808377726301,0.9805985552115584,0.010684977589717063,5
456,RBF SVM — PCA 2,rbf,2,0.01,auto,0.0,0.0,0.6263736263736264,0.0,0.9747162022703819,0.017540065151479448,5
456,RBF SVM — PCA 2,rbf,2,0.01,0.01,0.0,0.0,0.6263736263736264,0.0,0.9822497420020639,0.009363583607103758,5
456,RBF SVM — PCA 2,rbf,2,0.01,0.1,0.032432432432432434,0.07252112359458777,0.6329670329670329,0.01474330534615246,0.9804953560371518,0.01253030929592464,5
456,RBF SVM — PCA 2,rbf,2,0.01,1.0,0.0,0.0,0.6263736263736264,0.0,0.9740970072239422,0.02117910069626166,5
456,RBF SVM — PCA 2,rbf,2,0.1,scale,0.9111617549117549,0.02953357152857419,0.9362637362637363,0.019657740461536614,0.9841073271413828,0.011706398701347112,5
456,RBF SVM — PCA 2,rbf,2,0.1,auto,0.8938915985974809,0.03755906165448645,0.9186813186813186,0.030690637458832874,0.9762641898864809,0.016198490353294428,5
456,RBF SVM — PCA 2,rbf,2,0.1,0.01,0.9030383236834849,0.0327632390409279,0.9318681318681319,0.02113778468315532,0.9859649122807017,0.010205767029990626,5
456,RBF SVM — PCA 2,rbf,2,0.1,0.1,0.921523574464751,0.037231647928093206,0.9428571428571428,0.02623590414574353,0.9827657378740969,0.012387125483183638,5
456,RBF SVM — PCA 2,rbf,2,0.1,1.0,0.8989265398818368,0.035616696544926905,0.9252747252747252,0.027362416698876343,0.9742002063983488,0.020835629628039195,5
456,RBF SVM — PCA 2,rbf,2,1.0,scale,0.9130179741242077,0.03337308169072181,0.9362637362637363,0.023823608119427235,0.9854489164086688,0.012125354048571867,5
456,RBF SVM — PCA 2,rbf,2,1.0,auto,0.9217518468264737,0.040048050652344715,0.9406593406593406,0.030690637458832885,0.96109391124871,0.028617077100115563,5
456,RBF SVM — PCA 2,rbf,2,1.0,0.01,0.9245113095859365,0.025282161687706486,0.945054945054945,0.017375151978947106,0.9891640866873065,0.00838394056205981,5
456,RBF SVM — PCA 2,rbf,2,1.0,0.1,0.9127216432172629,0.03707732100767699,0.9362637362637363,0.026235904145743543,0.9823529411764707,0.012609739850655038,5
456,RBF SVM — PCA 2,rbf,2,1.0,1.0,0.918616661647984,0.04942699476532799,0.9384615384615385,0.036113575220120854,0.9679050567595461,0.03338736526996554,5
456,RBF SVM — PCA 2,rbf,2,10.0,scale,0.92240465416936,0.036510503726371095,0.9428571428571428,0.026235904145743543,0.9840041279669762,0.013475299130237938,5
