model,untuned_accuracy,untuned_f1,untuned_roc_auc,tuned_accuracy,tuned_f1,tuned_roc_auc,delta_accuracy,delta_f1,delta_roc_auc,untuned_f1_rank,tuned_f1_rank,baseline_source
Linear SVM — PCA 2,0.9473684210526315,0.9302171547585214,0.9897486772486772,0.9508771929824562,0.9340794668278669,0.9894179894179894,0.0035087719298246833,0.003862312069345508,-0.0003306878306877925,3,3,sample_size_scaling_raw.csv; train_size=455; C=1; QSVC reps=1/full
Linear SVM — PCA 4,0.9631578947368421,0.9500933140078491,0.9952380952380953,0.968421052631579,0.9565373276471781,0.9951719576719578,0.0052631578947368585,0.006444013639329005,-6.613756613749189e-05,1,1,sample_size_scaling_raw.csv; train_size=455; C=1; QSVC reps=1/full
"QSVC — PCA 2 / 2Q (reps=1, full)",0.9122807017543859,0.8725547201336674,0.9697089947089946,0.9070175438596492,0.8677602494360768,0.9643518518518519,-0.0052631578947367474,-0.004794470697590647,-0.005357142857142727,5,6,sample_size_scaling_raw.csv; train_size=455; C=1; QSVC reps=1/full
"QSVC — PCA 4 / 4Q (reps=1, full)",0.9052631578947368,0.8720597553526795,0.9581349206349206,0.9052631578947368,0.8720597553526795,0.9581349206349206,0.0,0.0,0.0,6,5,sample_size_scaling_raw.csv; train_size=455; C=1; QSVC reps=1/full
RBF SVM — PCA 2,0.9438596491228071,0.9232849190827952,0.9864417989417988,0.9456140350877191,0.9263143260707573,0.9809523809523808,0.0017543859649120641,0.0030294069879620578,-0.005489417989418044,4,4,sample_size_scaling_raw.csv; train_size=455; C=1; QSVC reps=1/full
RBF SVM — PCA 4,0.9578947368421054,0.9430206775640695,0.9944444444444445,0.956140350877193,0.9401211611330511,0.993452380952381,-0.0017543859649123972,-0.0028995164310183785,-0.0009920634920634885,2,2,sample_size_scaling_raw.csv; train_size=455; C=1; QSVC reps=1/full
