run_id,seed,train_size,model,pca_components,status,error
81,456,300,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
82,456,300,Linear SVM — PCA 4,4,SUCCESS,None
83,456,300,RBF SVM — PCA 4,4,SUCCESS,None
84,456,300,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
85,456,455,Linear SVM — PCA 2,2,SUCCESS,None
86,456,455,RBF SVM — PCA 2,2,SUCCESS,None
87,456,455,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
88,456,455,Linear SVM — PCA 4,4,SUCCESS,None
89,456,455,RBF SVM — PCA 4,4,SUCCESS,None
90,456,455,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
91,789,50,Linear SVM — PCA 2,2,SUCCESS,None
92,789,50,RBF SVM — PCA 2,2,SUCCESS,None
93,789,50,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
94,789,50,Linear SVM — PCA 4,4,SUCCESS,None
95,789,50,RBF SVM — PCA 4,4,SUCCESS,None
96,789,50,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
97,789,100,Linear SVM — PCA 2,2,SUCCESS,None
98,789,100,RBF SVM — PCA 2,2,SUCCESS,None
99,789,100,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
100,789,100,Linear SVM — PCA 4,4,SUCCESS,None
101,789,100,RBF SVM — PCA 4,4,SUCCESS,None
102,789,100,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
103,789,200,Linear SVM — PCA 2,2,SUCCESS,None
104,789,200,RBF SVM — PCA 2,2,SUCCESS,None
105,789,200,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
106,789,200,Linear SVM — PCA 4,4,SUCCESS,None
107,789,200,RBF SVM — PCA 4,4,SUCCESS,None
108,789,200,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
109,789,300,Linear SVM — PCA 2,2,SUCCESS,None
110,789,300,RBF SVM — PCA 2,2,SUCCESS,None
111,789,300,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
112,789,300,Linear SVM — PCA 4,4,SUCCESS,None
113,789,300,RBF SVM — PCA 4,4,SUCCESS,None
114,789,300,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
115,789,455,Linear SVM — PCA 2,2,SUCCESS,None
116,789,455,RBF SVM — PCA 2,2,SUCCESS,None
117,789,455,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
118,789,455,Linear SVM — PCA 4,4,SUCCESS,None
119,789,455,RBF SVM — PCA 4,4,SUCCESS,None
120,789,455,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
121,2026,50,Linear SVM — PCA 2,2,SUCCESS,None
122,2026,50,RBF SVM — PCA 2,2,SUCCESS,None
123,2026,50,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
124,2026,50,Linear SVM — PCA 4,4,SUCCESS,None
125,2026,50,RBF SVM — PCA 4,4,SUCCESS,None
126,2026,50,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
127,2026,100,Linear SVM — PCA 2,2,SUCCESS,None
128,2026,100,RBF SVM — PCA 2,2,SUCCESS,None
129,2026,100,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
130,2026,100,Linear SVM — PCA 4,4,SUCCESS,None
131,2026,100,RBF SVM — PCA 4,4,SUCCESS,None
132,2026,100,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
133,2026,200,Linear SVM — PCA 2,2,SUCCESS,None
134,2026,200,RBF SVM — PCA 2,2,SUCCESS,None
135,2026,200,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
136,2026,200,Linear SVM — PCA 4,4,SUCCESS,None
137,2026,200,RBF SVM — PCA 4,4,SUCCESS,None
138,2026,200,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
139,2026,300,Linear SVM — PCA 2,2,SUCCESS,None
140,2026,300,RBF SVM — PCA 2,2,SUCCESS,None
141,2026,300,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
142,2026,300,Linear SVM — PCA 4,4,SUCCESS,None
143,2026,300,RBF SVM — PCA 4,4,SUCCESS,None
144,2026,300,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
145,2026,455,Linear SVM — PCA 2,2,SUCCESS,None
146,2026,455,RBF SVM — PCA 2,2,SUCCESS,None
147,2026,455,"QSVC — PCA 2 / 2Q (reps=1, full)",2,SUCCESS,None
148,2026,455,Linear SVM — PCA 4,4,SUCCESS,None
149,2026,455,RBF SVM — PCA 4,4,SUCCESS,None
150,2026,455,"QSVC — PCA 4 / 4Q (reps=1, full)",4,SUCCESS,None
