seed,pca_components,n_qubits,reps,entanglement,accuracy,precision,recall,f1,roc_auc,kernel_backend,statevector_generation_time,kernel_matrix_time,classifier_fit_time,prediction_time,total_runtime,condition_number,min_eigenvalue,max_eigenvalue,trace,effective_rank,offdiag_mean,offdiag_std,offdiag_min,offdiag_max,offdiag_median,offdiag_q25,offdiag_q75
42,2,2,1,linear,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9818121693121693,exact_statevector_gram,0.22928360000514658,0.004039899999042973,0.0053805999996257015,0.002144800004316494,0.24084890000813175,3.727460679042416e+19,-4.190997922966006e-14,160.52345455295853,455.0,7.467798213445227,0.31798351316992307,0.29250907705572277,2.304673273951279e-07,0.9999956333104115,0.21319066726216948,0.07749505779291418,0.5106699906820028
42,2,2,1,full,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9818121693121693,exact_statevector_gram,0.23632609999913257,0.0020318999959272332,0.0021018000043113716,0.000673400005325675,0.24113320000469685,3.727460679042416e+19,-4.190997922966006e-14,160.52345455295853,455.0,7.467798213445227,0.31798351316992307,0.29250907705572277,2.304673273951279e-07,0.9999956333104115,0.21319066726216948,0.07749505779291418,0.5106699906820028
42,2,2,2,linear,0.8947368421052632,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9530423280423281,exact_statevector_gram,0.3757413999992423,0.0010857000015676022,0.002520000001823064,0.0006199000054039061,0.37996700000803685,3.5726495230766285e+19,-5.741793959410091e-14,213.57146626406012,455.0,6.489662030618065,0.4230014241886563,0.2816036034478675,2.114873701626736e-06,0.9999957415493025,0.38529303783511787,0.18032496388019748,0.6420033068046829
42,2,2,2,full,0.8947368421052632,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9530423280423281,exact_statevector_gram,0.35527359999832697,0.001210700000228826,0.0022423999980674125,0.0008566000033169985,0.3595832999999402,3.5726495230766285e+19,-5.741793959410091e-14,213.57146626406012,455.0,6.489662030618065,0.4230014241886563,0.2816036034478675,2.114873701626736e-06,0.9999957415493025,0.38529303783511787,0.18032496388019748,0.6420033068046829
42,2,2,3,linear,0.868421052631579,0.8,0.8571428571428571,0.8275862068965517,0.9090608465608465,exact_statevector_gram,0.6200686000011046,0.0017565000016475096,0.002932600000349339,0.0008671999967191368,0.6256248999998206,4.119505103611554e+19,-5.889725422950091e-14,232.07386138953467,455.0,6.228875395509227,0.46436358733073874,0.26999208495103594,4.552718364512027e-06,0.9999952476634308,0.45551678156327147,0.24011356046702043,0.6821383765833289
42,2,2,3,full,0.868421052631579,0.8,0.8571428571428571,0.8275862068965517,0.9090608465608465,exact_statevector_gram,0.6028277000004891,0.0019343999956618063,0.003426499999477528,0.0010277999972458929,0.6092163999928744,4.119505103611554e+19,-5.889725422950091e-14,232.07386138953467,455.0,6.228875395509227,0.46436358733073874,0.26999208495103594,4.552718364512027e-06,0.9999952476634308,0.45551678156327147,0.24011356046702043,0.6821383765833289
42,4,4,1,linear,0.8508771929824561,0.7906976744186046,0.8095238095238095,0.8,0.9540343915343915,exact_statevector_gram,0.4618867000026512,0.0015522000030614436,0.003202799998689443,0.0015735999986645766,0.46821530000306666,3.779553542418711e+18,-9.270479154148902e-15,48.64908674345301,455.0,64.93212678863095,0.08679926384062028,0.13945749626804302,4.015666691541054e-08,0.9882779138346801,0.03490013577953049,0.011123671390966755,0.09430208881272067
42,4,4,1,full,0.9298245614035088,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.968584656084656,exact_statevector_gram,0.7653734999985318,0.003045999997993931,0.004577499996230472,0.0014971999989938922,0.7744941999917501,9.465311738222217e+18,-4.137894369771594e-15,50.71724989509386,455.0,90.76350609256536,0.0993551007981607,0.10723751009006618,4.114422718613833e-07,0.9804607406799674,0.06536603768826482,0.024482775282659196,0.1375402996238138
42,4,4,2,linear,0.8596491228070176,0.8421052631578947,0.7619047619047619,0.8,0.927910052910053,exact_statevector_gram,1.021778300004371,0.0025211999964085408,0.003326099998957943,0.0007325000042328611,1.0283581000039703,8.63692127891448e+17,-1.4654333770563794e-15,41.021228162884995,455.0,90.72369652983772,0.08365918540929555,0.10928016128745285,2.0141949449058976e-07,0.9770478988464989,0.0464638245099293,0.017233318482056947,0.10532334071193278
42,4,4,2,full,0.7982456140350878,0.7317073170731707,0.7142857142857143,0.7228915662650602,0.8776455026455027,exact_statevector_gram,1.3070957000018097,0.0021790999962831847,0.00283839999610791,0.0009623000005376525,1.3130754999947385,1.06864334851588e+17,-1.1396904186192683e-15,38.56435180070022,455.0,124.34992464878525,0.07966863447927158,0.08324199793783119,5.975689668962874e-07,0.9698759497261932,0.05482370673119429,0.022973391223610452,0.10875488053326786
