seed,model,kernel,pca_components,C,gamma,inner_fold,n_inner_train,n_inner_validation,inner_accuracy,inner_precision,inner_recall,inner_f1,inner_roc_auc
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.1,none,2,364,91,0.7362637362637363,0.9166666666666666,0.3235294117647059,0.4782608695652174,0.9669762641898865
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,1.0,none,2,364,91,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9742002063983488
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,10.0,none,2,364,91,0.8681318681318682,0.8055555555555556,0.8529411764705882,0.8285714285714286,0.9680082559339525
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,100.0,none,2,364,91,0.8791208791208791,0.8108108108108109,0.8823529411764706,0.8450704225352113,0.9613003095975232
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.01,none,3,364,91,0.6263736263736264,0.0,0.0,0.0,0.9757481940144479
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.1,none,3,364,91,0.8351648351648352,1.0,0.5588235294117647,0.7169811320754716,0.9762641898864809
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,1.0,none,3,364,91,0.9010989010989011,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.9814241486068112
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,10.0,none,3,364,91,0.9120879120879121,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9649122807017544
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,100.0,none,3,364,91,0.9010989010989011,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.956140350877193
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.01,none,4,364,91,0.6263736263736264,0.0,0.0,0.0,0.9597523219814241
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.1,none,4,364,91,0.7142857142857143,1.0,0.23529411764705882,0.38095238095238093,0.9597523219814241
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,1.0,none,4,364,91,0.8351648351648352,0.8275862068965517,0.7058823529411765,0.7619047619047619,0.95562435500516
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,10.0,none,4,364,91,0.9010989010989011,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.9504643962848296
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,100.0,none,4,364,91,0.8681318681318682,0.84375,0.7941176470588235,0.8181818181818182,0.9509803921568629
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.01,none,5,364,91,0.6263736263736264,0.0,0.0,0.0,0.9468524251805985
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.1,none,5,364,91,0.7802197802197802,0.9375,0.4411764705882353,0.6,0.9453044375644996
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,1.0,none,5,364,91,0.9120879120879121,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9633642930856553
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,10.0,none,5,364,91,0.8901098901098901,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.9551083591331269
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,100.0,none,5,364,91,0.8461538461538461,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.934468524251806
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.01,none,1,364,91,0.6263736263736264,0.0,0.0,0.0,0.957688338493292
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.1,none,1,364,91,0.8901098901098901,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9767801857585139
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,1.0,none,1,364,91,0.9120879120879121,0.90625,0.8529411764705882,0.8787878787878788,0.9845201238390092
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,10.0,none,1,364,91,0.9340659340659341,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9850361197110422
