pca_dim,qubits,reps,entanglement,is_baseline,F1 Mean,F1 SD,ROC-AUC Mean,ROC-AUC SD,Accuracy Mean,Accuracy SD,OffDiag Mean,offdiag_mean_std,OffDiag SD,offdiag_std_std,Effective Rank,effective_rank_std,Condition Number,Runtime (s)
2,2,1,linear,False,0.8725547201336676,0.0375802678028589,0.9697089947089946,0.0141068498395662,0.912280701754386,0.0223641206736525,0.3243824746418755,0.0071445133645523,0.2907618436159609,0.0039379955551494,7.345458974362939,0.2056209302575163,1.116078649568005e+20,0.2123518599999442
2,2,1,full,False,0.8725547201336676,0.0375802678028589,0.9697089947089946,0.0141068498395662,0.912280701754386,0.0223641206736525,0.3243824746418755,0.0071445133645523,0.2907618436159609,0.0039379955551494,7.345458974362939,0.2056209302575163,1.116078649568005e+20,0.2142232799998965
2,2,2,linear,False,0.8326783340116674,0.0283083332561162,0.9414021164021162,0.0240362514677245,0.8842105263157896,0.0168731439137468,0.4310837983658781,0.030195858445761,0.2794711857834012,0.0032738966657321,6.329119960054456,0.4960725899629286,1.3214910633720372e+20,0.3747256799998467
2,2,2,full,True,0.8326783340116674,0.0283083332561162,0.9414021164021162,0.0240362514677245,0.8842105263157896,0.0168731439137468,0.4310837983658781,0.030195858445761,0.2794711857834012,0.0032738966657321,6.329119960054456,0.4960725899629286,1.3214910633720372e+20,0.3726864399999613
2,2,3,linear,False,0.8011617911033626,0.0352484605874934,0.9203703703703704,0.0250422625754143,0.8596491228070174,0.021486752129677,0.4818011457915434,0.024884548886393,0.2676642000271693,0.0015123879273904,5.9042264637638535,0.3953739537394499,5.055366461369908e+19,0.4950708400001531
2,2,3,full,False,0.8011617911033626,0.0352484605874934,0.9203703703703704,0.0250422625754143,0.8596491228070174,0.021486752129677,0.4818011457915434,0.024884548886393,0.2676642000271693,0.0015123879273904,5.9042264637638535,0.3953739537394499,5.055366461369908e+19,0.4714532799996959
4,4,1,linear,False,0.7957322362546243,0.068776930823077,0.9262566137566136,0.0302647121392792,0.8596491228070174,0.0345351222544377,0.0817961404471268,0.0040637387826647,0.1306402830528195,0.007238998201414,70.28650071706804,4.938000214543069,3.057168543061061e+19,0.4065921400000661
4,4,1,full,False,0.8720597553526798,0.0555504130597411,0.9581349206349206,0.0226727448265246,0.905263157894737,0.042251209048394,0.0960845934076047,0.0031620044609715,0.1014878366581762,0.0046262247576993,96.48512374501928,5.414778047192835,6.489815638286682e+19,0.5754958599998645
4,4,2,linear,False,0.7191869858536526,0.0858535539311,0.8934523809523809,0.0441616233645469,0.8140350877192981,0.042251209048394,0.0829320434353739,0.0034727524488186,0.1056878073442148,0.0046471649486356,95.79686743050972,5.3944435257295815,7.881249544863007e+17,0.702855400000135
4,4,2,full,True,0.6816093822902556,0.0590264315222719,0.8546296296296297,0.0482076624303772,0.7789473684210526,0.0363797216725047,0.0811320598202134,0.0014711618227198,0.0844808059991847,0.0018508846365315,123.66341518649968,2.6483213443827363,2.518621161347632e+17,1.0255224199998338
4,4,3,linear,False,0.7054921096502157,0.0492645396673268,0.8700396825396826,0.0310872944394232,0.7964912280701755,0.0413305929452271,0.097685200615811,0.0025043365672839,0.107966584425511,0.003102343154575,93.62902782544732,4.014439491125731,2.085421976857527e+17,1.00614489999989
4,4,3,full,False,0.5402556272889776,0.0522714381004845,0.7872354497354497,0.0339761429444484,0.7228070175438596,0.0294872566911782,0.0778216879581897,0.0017517120018728,0.0769543074081426,0.0016848913145764,137.43227165045786,2.831692898491913,2.505287386187653e+16,1.4747507600000065
