seed,pca_components,n_qubits,inner_fold,reps,entanglement,C,n_inner_train,n_inner_validation,kernel_cache_id,kernel_runtime_shared_across_C,inner_accuracy,inner_precision,inner_recall,inner_f1,inner_roc_auc
42,2,2,2,1,linear,0.1,364,91,seed=42|dim=2|fold=2|reps=1|ent=linear,0.15015739999944344,0.8681318681318682,0.8928571428571429,0.7352941176470589,0.8064516129032258,0.9757481940144479
42,2,2,2,1,linear,1.0,364,91,seed=42|dim=2|fold=2|reps=1|ent=linear,0.15015739999944344,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.9716202270381837
42,2,2,2,1,linear,10.0,364,91,seed=42|dim=2|fold=2|reps=1|ent=linear,0.15015739999944344,0.9230769230769231,0.8648648648648649,0.9411764705882353,0.9014084507042254,0.9613003095975232
42,2,2,2,1,linear,100.0,364,91,seed=42|dim=2|fold=2|reps=1|ent=linear,0.15015739999944344,0.9120879120879121,0.8611111111111112,0.9117647058823529,0.8857142857142857,0.9613003095975232
42,2,2,2,2,linear,0.01,364,91,seed=42|dim=2|fold=2|reps=2|ent=linear,0.24717269999382552,0.6263736263736264,0.0,0.0,0.0,0.9458204334365325
42,2,2,2,2,linear,0.1,364,91,seed=42|dim=2|fold=2|reps=2|ent=linear,0.24717269999382552,0.8461538461538461,0.8333333333333334,0.7352941176470589,0.78125,0.9453044375644994
42,2,2,2,2,linear,1.0,364,91,seed=42|dim=2|fold=2|reps=2|ent=linear,0.24717269999382552,0.9120879120879121,0.90625,0.8529411764705882,0.8787878787878788,0.9453044375644994
42,2,2,2,2,linear,10.0,364,91,seed=42|dim=2|fold=2|reps=2|ent=linear,0.24717269999382552,0.8791208791208791,0.8709677419354839,0.7941176470588235,0.8307692307692308,0.9447884416924665
42,2,2,2,2,linear,100.0,364,91,seed=42|dim=2|fold=2|reps=2|ent=linear,0.24717269999382552,0.9120879120879121,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9416924664602683
42,2,2,2,3,linear,0.01,364,91,seed=42|dim=2|fold=2|reps=3|ent=linear,0.35011479999957373,0.6263736263736264,0.0,0.0,0.0,0.9122807017543859
42,2,2,2,3,linear,0.1,364,91,seed=42|dim=2|fold=2|reps=3|ent=linear,0.35011479999957373,0.7362637362637363,0.8571428571428571,0.35294117647058826,0.5,0.9091847265221878
42,2,2,2,3,linear,1.0,364,91,seed=42|dim=2|fold=2|reps=3|ent=linear,0.35011479999957373,0.8131868131868132,0.84,0.6176470588235294,0.711864406779661,0.9071207430340558
42,2,2,2,3,linear,10.0,364,91,seed=42|dim=2|fold=2|reps=3|ent=linear,0.35011479999957373,0.8571428571428571,0.8620689655172413,0.7352941176470589,0.7936507936507936,0.913828689370485
42,2,2,2,3,linear,100.0,364,91,seed=42|dim=2|fold=2|reps=3|ent=linear,0.35011479999957373,0.8571428571428571,0.8387096774193549,0.7647058823529411,0.8,0.9153766769865841
